ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT,MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATIONZ,ORIENTATIONX,ORIENTATIONY,PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0032,0.1718,9.7835,0.0162,0.2004,9.8046,-0.013,-0.0282,-0.0025,-7.00E-04,5.00E-04,-1.00E-04,581,11.4,10.48,-40.92,314.41,-1.19,-0.11,2,981.13,58.622,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 22,136512,2018-07-23 11:58:30:469
0.0367,0.2269,9.7835,0.0174,0.2041,9.8045,0.0193,0.0232,-0.0027,-7.00E-04,-6.00E-04,9.00E-04,581,12.4,9.21,-39.03,309.1,-1.18,-0.09,2,981.14,56.239,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 22,137009,2018-07-23 11:58:30:966
0.0104,0.2005,9.7859,0.0188,0.1995,9.8046,-0.0084,0.0014,5.00E-04,-7.00E-04,5.00E-04,9.00E-04,581,11.83,8.19,-39.97,306.11,-1.17,-0.12,2,981.14,58.898,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 22,137511,2018-07-23 11:58:31:468
0.0223,0.2029,9.7787,0.0195,0.2014,9.8046,0.0029,0.002,-0.0048,3.00E-04,0.0015,-1.00E-04,581,11.81,9.03,-39.23,309.05,-1.17,-0.12,2,981.14,56.042,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 22,138011,2018-07-23 11:58:31:968
0.0127,0.1694,9.7883,0.0169,0.1996,9.8046,-0.0042,-0.0298,0.0017,3.00E-04,-6.00E-04,-1.00E-04,581,13.05,9.12,-39.15,306.88,-1.19,-0.1,2,981.14,59.982,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 22,138511,2018-07-23 11:58:32:468
0.0343,0.2341,9.8745,0.023,0.202,9.8045,0.0113,0.0323,0.0801,-0.0018,-0.0049,-0.0225,581,11.28,8.37,-40.39,308.48,-1.16,-0.12,2,981.14,51.565,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 22,139010,2018-07-23 11:58:32:967
0.0072,0.1934,9.7867,0.0189,0.1998,9.8046,-0.0117,-0.0061,-0.0026,0,1.00E-04,-0.0012,581,12.09,6.59,-38.74,302.83,-1.17,-0.12,2,981.14,30.806,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 22,139511,2018-07-23 11:58:33:468
0.0327,0.2053,9.7787,0.0193,0.1988,9.8046,0.0135,0.0069,-0.008,0,1.00E-04,-8.00E-04,581,10.63,2.12,-37.42,283.94,-1.16,-0.11,2,981.14,33.97,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,140009,2018-07-23 11:58:33:966
0.008,0.1814,9.7835,0.0178,0.1975,9.8046,-0.0098,-0.0157,-9.00E-04,3.00E-04,5.00E-04,-1.00E-04,581,10.63,7.4,-39.96,305.19,-1.17,-0.11,2,981.14,50.75,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,140510,2018-07-23 11:58:34:467
0.0487,0.2293,9.7764,0.0216,0.2015,9.8046,0.0271,0.0283,-0.0037,3.00E-04,5.00E-04,-1.00E-04,581,11.74,6.19,-39.54,299.4,-1.16,-0.11,2,981.14,52.243,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,141009,2018-07-23 11:58:34:966
-0.016,0.1574,9.7931,0.0163,0.1992,9.8046,-0.0322,-0.0412,0.0151,3.00E-04,5.00E-04,-1.00E-04,581,10.71,8.83,-39.73,311.57,-1.19,-0.12,2,981.14,25.237,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,141510,2018-07-23 11:58:35:467
0.0391,0.2053,9.7692,0.0187,0.202,9.8046,0.0204,0.004,-0.0062,3.00E-04,5.00E-04,-1.00E-04,581,12.24,8.59,-38.79,309.08,-1.18,-0.1,2,981.14,38.046,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,142012,2018-07-23 11:58:35:969
0.0151,-0.1083,9.7668,0.016,0.1647,9.8053,-8.00E-04,-0.2725,-0.0088,-7.00E-04,5.00E-04,-0.0022,581,11.97,8.13,-40.38,305.76,-0.99,-0.09,2,981.14,41.337,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,142510,2018-07-23 11:58:36:467
0.0415,0.3083,9.7811,0.0165,0.1951,9.8047,0.025,0.1137,0.0029,3.00E-04,5.00E-04,9.00E-04,581,11.76,6.9,-39.88,302.69,-1.06,-0.08,2,981.14,48.521,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,143010,2018-07-23 11:58:36:967
0.0104,0.1359,9.7787,0.0183,0.1929,9.8047,-0.0079,-0.0566,-0.0015,3.00E-04,5.00E-04,-1.00E-04,581,12.9,8.64,-40.14,306.88,-1.17,-0.11,2,981.15,53.519,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,143511,2018-07-23 11:58:37:468
0.0343,0.2412,9.7668,0.0186,0.2016,9.8046,0.0157,0.0402,-0.0143,3.00E-04,5.00E-04,9.00E-04,581,11.31,9.96,-38.85,314.24,-1.15,-0.1,2,981.16,46.614,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,144013,2018-07-23 11:58:37:970
0.0223,0.1814,9.7787,0.0169,0.1983,9.8046,0.0055,-0.0164,-0.0033,3.00E-04,5.00E-04,-1.00E-04,581,10.63,7.89,-40.48,308.54,-1.17,-0.1,2,981.16,50.856,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,144511,2018-07-23 11:58:38:468
0.0127,0.1958,9.7907,0.0169,0.1996,9.8046,-0.0042,-0.0034,0.0061,3.00E-04,5.00E-04,-1.00E-04,581,11.37,9.35,-38.83,311.5,-1.17,-0.1,2,981.16,43.031,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,145012,2018-07-23 11:58:38:969
0.0223,0.2077,9.7835,0.0182,0.202,9.8046,0.0042,0.0062,-4.00E-04,3.00E-04,5.00E-04,9.00E-04,581,12.48,8.96,-39.08,309.06,-1.17,-0.1,2,981.16,51.528,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,145512,2018-07-23 11:58:39:469
0.0056,0.1934,9.7931,0.0163,0.199,9.8046,-0.0107,-0.0052,0.0078,3.00E-04,5.00E-04,-0.0012,581,13.32,8.75,-39.78,306.89,-1.17,-0.1,2,981.16,48.821,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,146011,2018-07-23 11:58:39:968
0.0151,0.2005,9.7907,0.0188,0.2005,9.8046,-0.0036,5.00E-04,0.0048,-7.00E-04,5.00E-04,-1.00E-04,581,11.44,8.64,-39.92,311.54,-1.17,-0.11,2,981.16,27.673,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,146511,2018-07-23 11:58:40:468
0.0247,0.2029,9.7883,0.0176,0.2019,9.8046,0.0071,0.0014,0.0011,3.00E-04,5.00E-04,9.00E-04,581,11.51,7.83,-39.45,306.1,-1.18,-0.1,2,981.15,25.639,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,147012,2018-07-23 11:58:40:969
0.0104,0.1982,9.7931,0.0167,0.2013,9.8046,-0.0063,-0.0028,0.0053,3.00E-04,5.00E-04,-1.00E-04,581,12.3,9.72,-39.83,311.87,-1.18,-0.1,2,981.15,29.169,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,147510,2018-07-23 11:58:41:467
0.0104,0.2005,9.7452,0.0126,0.2028,9.8045,-0.0022,-0.0018,-0.0376,0.0025,0.0122,-0.0097,581,11.46,8.14,-39.94,308.55,-1.18,-0.1,2,981.15,25.813,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,148011,2018-07-23 11:58:41:968
0.0223,0.1886,9.7859,0.0155,0.1998,9.8046,0.0069,-0.0108,3.00E-04,-4.00E-04,5.00E-04,6.00E-04,581,11.22,5.7,-40.47,301.66,-1.18,-0.09,2,981.15,63.203,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,148510,2018-07-23 11:58:42:467
0.0127,0.2029,9.7875,0.0174,0.2007,9.8046,-0.0046,0.0026,0.0025,0,-2.00E-04,2.00E-04,581,12.14,4.52,-37.87,295.58,-1.17,-0.1,2,981.14,60.489,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,15 / 21,149010,2018-07-23 11:58:42:967
0.0367,0.2125,9.7668,0.0193,0.2004,9.8046,0.0175,0.0127,-0.0102,3.00E-04,5.00E-04,-1.00E-04,581,11.71,7.34,-39.71,302.9,-1.16,-0.1,2,981.14,59.469,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,15 / 21,149510,2018-07-23 11:58:43:467
0.008,0.2005,9.7811,0.0179,0.1982,9.8046,-0.0099,0.003,0.0065,-7.00E-04,5.00E-04,-1.00E-04,581,11.4,6.04,-40.13,301.56,-1.16,-0.11,2,981.14,58.794,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,150010,2018-07-23 11:58:43:967
0.0175,0.1958,9.7692,0.0184,0.2002,9.8046,-8.00E-04,-0.0038,-0.0032,3.00E-04,5.00E-04,-1.00E-04,581,11.48,9.42,-39.01,311.49,-1.17,-0.11,2,981.14,54.26,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,150510,2018-07-23 11:58:44:467
0.0343,0.1862,9.7668,0.0186,0.1978,9.8046,0.0158,-0.011,-0.0063,3.00E-04,-6.00E-04,-1.00E-04,581,13.21,8.14,-41.01,304.05,-1.16,-0.1,2,981.14,44.166,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,151011,2018-07-23 11:58:44:968
0.0175,0.1574,9.774,0.0197,0.1964,9.8047,-0.0022,-0.0383,-0.0012,-7.00E-04,5.00E-04,-1.00E-04,581,12.01,9.59,-39.66,311.84,-1.18,-0.12,2,981.14,57.596,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,151510,2018-07-23 11:58:45:467
0.0271,0.1958,9.7692,0.019,0.2004,9.8046,0.0082,-0.004,-0.0079,3.00E-04,-6.00E-04,-1.00E-04,581,10.76,10.07,-38.9,314.28,-1.17,-0.1,2,981.14,60.441,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,152012,2018-07-23 11:58:45:969
0.0199,0.1934,9.7764,0.0197,0.1998,9.8046,3.00E-04,-0.0059,-0.0024,3.00E-04,5.00E-04,-1.00E-04,581,11.43,7.41,-39.85,305.2,-1.17,-0.12,2,981.14,56.352,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,152511,2018-07-23 11:58:46:468
0.0199,0.1886,9.7811,0.0175,0.199,9.8046,0.0025,-0.0099,0,-7.00E-04,-6.00E-04,-1.00E-04,581,11.69,8.76,-38.89,309.07,-1.17,-0.1,2,981.14,60.072,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,153012,2018-07-23 11:58:46:969
-0.1237,0.2245,9.7811,0.0116,0.2224,9.8041,-0.1353,0.0026,-4.00E-04,0.0025,-0.0081,0.4963,581,11.84,8.93,-39.51,309.33,-1.29,-0.12,2,981.14,54.195,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,153511,2018-07-23 11:58:47:468
0.0271,0.1766,9.7787,0.0523,0.2054,9.8044,-0.025,-0.0284,-0.0054,3.00E-04,-6.00E-04,0.0148,570,11.16,8.68,-41.39,311.31,-1.22,-0.32,2,981.14,61.037,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,154011,2018-07-23 11:58:47:968
0.0271,0.2125,9.7931,0.0406,0.2149,9.8042,-0.0134,-0.0021,0.0052,3.00E-04,-2.00E-04,2.00E-04,570,10.85,9.65,-40.86,314.27,-1.26,-0.25,2,981.14,55.161,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,154513,2018-07-23 11:58:48:470
0.0343,0.2197,9.7915,0.038,0.2215,9.8041,-0.0037,-0.0015,0.0027,-4.00E-04,-2.00E-04,6.00E-04,570,11.15,9.37,-40.07,311.59,-1.29,-0.22,2,981.14,40.615,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,155012,2018-07-23 11:58:48:969
0.0391,0.2077,9.7811,0.0375,0.2292,9.8039,0.0016,-0.0212,-0.0084,3.00E-04,5.00E-04,9.00E-04,570,11.62,10.4,-40.97,312.02,-1.32,-0.2,2,981.14,58.201,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,155510,2018-07-23 11:58:49:467
0.0271,0.2293,9.7979,0.0358,0.2235,9.804,-0.0086,0.0061,0.0076,0.0014,5.00E-04,-1.00E-04,570,11.52,9.35,-42.43,309.32,-1.31,-0.21,2,981.15,54.053,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,156009,2018-07-23 11:58:49:966
0.0678,0.2628,9.7883,0.0383,0.2313,9.8038,0.0295,0.0317,-0.0023,3.00E-04,5.00E-04,9.00E-04,570,11.76,8.94,-41.64,309.38,-1.33,-0.21,2,981.15,59.206,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,156511,2018-07-23 11:58:50:468
0.0511,0.1934,9.6902,0.0425,0.2285,9.8039,0.0086,-0.0347,-0.0917,3.00E-04,0.0037,-1.00E-04,570,11.17,9.53,-41.59,314.5,-1.36,-0.25,2,981.15,40.105,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,157011,2018-07-23 11:58:50:968
0.0335,0.2365,9.7899,0.0401,0.2297,9.8039,-0.0065,0.0073,0.0091,0,-2.00E-04,-5.00E-04,570,10.25,7.68,-39.43,311.23,-1.34,-0.24,2,981.14,52.528,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 21,157510,2018-07-23 11:58:51:467
0.0471,0.2221,9.7851,0.0391,0.2261,9.804,0.0081,-0.0036,2.00E-04,0.0025,0.0012,0.0038,570,11.8,6.82,-40.08,303.07,-1.32,-0.22,2,981.14,53.346,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,158009,2018-07-23 11:58:51:966
0.0535,0.1958,9.774,0.0391,0.2249,9.804,0.0144,-0.0287,-0.0105,3.00E-04,5.00E-04,-1.00E-04,570,11.36,10.28,-42.27,314.52,-1.33,-0.22,2,981.15,62.317,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,158510,2018-07-23 11:58:52:467
0.0606,0.2005,9.7835,0.0428,0.2281,9.8039,0.0179,-0.0271,2.00E-04,-7.00E-04,5.00E-04,9.00E-04,570,11.25,10.17,-39.03,314.37,-1.35,-0.24,2,981.15,55.285,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,159013,2018-07-23 11:58:52:970
0.0319,0.2604,9.7955,0.0409,0.2308,9.8038,-0.0089,0.03,0.0103,2.00E-04,3.00E-04,-1.00E-04,570,10.5,11.78,-41.28,319.19,-1.33,-0.25,2,981.15,57.173,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,159510,2018-07-23 11:58:53:467
0.0343,0.2341,9.7907,0.0404,0.2284,9.8039,-0.006,0.006,0.0043,-9.00E-04,3.00E-04,9.00E-04,570,10.48,10.24,-42.09,317.16,-1.33,-0.24,2,981.15,54.975,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,160011,2018-07-23 11:58:53:968
0.0367,0.2149,9.7835,0.0403,0.2261,9.804,-0.0035,-0.0108,-0.0042,-9.00E-04,-8.00E-04,-1.00E-04,570,11.47,9.99,-40.61,314.43,-1.33,-0.24,2,981.15,55.44,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,160511,2018-07-23 11:58:54:468
0.0367,0.27,9.7907,0.041,0.2287,9.8039,-0.0043,0.0417,0.0029,2.00E-04,3.00E-04,9.00E-04,570,12.04,11.06,-41.66,314.46,-1.31,-0.24,2,981.15,60.958,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,161012,2018-07-23 11:58:54:969
0.0319,0.2101,9.7907,0.0416,0.228,9.8039,-0.0096,-0.0176,0.0026,2.00E-04,3.00E-04,9.00E-04,570,10.38,9.12,-42.4,314.43,-1.34,-0.25,2,981.15,55.198,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,161510,2018-07-23 11:58:55:467
0.0439,0.2245,9.7907,0.0449,0.2284,9.8039,-9.00E-04,-0.0035,0.003,2.00E-04,3.00E-04,9.00E-04,570,10.73,10.36,-42.97,314.49,-1.34,-0.26,2,981.15,55.966,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,162011,2018-07-23 11:58:55:968
-0.0375,0.2484,9.8027,0.0156,0.2286,9.804,-0.0531,0.0201,0.0127,-9.00E-04,0.0014,-0.2941,570,10.06,11.98,-41.04,322.01,-1.32,-0.15,2,981.15,59.815,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,162511,2018-07-23 11:58:56:468
0.0223,0.1766,9.8051,0.0261,0.2093,9.8044,-0.0037,-0.0324,0.0154,-0.0051,0.0046,-1.00E-04,570,9.46,13.31,-40.82,326.73,-1.26,-0.17,2,981.15,58.778,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,163010,2018-07-23 11:58:56:967
0.0335,0.2317,9.7891,0.0257,0.2096,9.8044,0.0078,0.0224,-0.0023,-5.00E-04,0,-1.00E-04,570,8.28,12.51,-41.91,329.72,-1.21,-0.14,2,981.15,53.114,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,163511,2018-07-23 11:58:57:468
0.0199,0.2125,9.7899,0.025,0.2085,9.8044,-0.005,0.0043,-0.0018,-2.00E-04,0,-1.00E-04,570,9.38,13.77,-41.65,328.55,-1.22,-0.15,2,981.15,60.98,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,164010,2018-07-23 11:58:57:967
0.0271,0.2149,9.7859,0.025,0.2092,9.8044,0.0021,0.006,-0.0041,2.00E-04,-8.00E-04,-1.00E-04,570,9.97,13.45,-40.47,323.91,-1.23,-0.14,2,981.15,51.566,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,164510,2018-07-23 11:58:58:467
0.0199,0.1958,9.7955,0.027,0.207,9.8044,-0.007,-0.0109,0.0058,-9.00E-04,3.00E-04,-1.00E-04,570,9.68,15.12,-41.51,327.51,-1.22,-0.16,2,981.16,25.201,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,165010,2018-07-23 11:58:58:967
0.0247,0.191,9.7883,0.0262,0.2083,9.8044,-0.0014,-0.017,-2.00E-04,2.00E-04,3.00E-04,-1.00E-04,570,7.69,13.28,-40.85,329.69,-1.23,-0.16,2,981.16,25.555,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,165511,2018-07-23 11:58:59:468
0.0247,0.2317,9.7955,0.0259,0.2089,9.8044,-0.0011,0.0231,0.005,2.00E-04,3.00E-04,-1.00E-04,570,9.01,12.57,-41.87,326.74,-1.22,-0.15,2,981.16,27.904,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,166011,2018-07-23 11:58:59:968
0.0191,0.246,9.7955,0.0255,0.2109,9.8044,-0.0063,0.0355,0.0048,-2.00E-04,0,6.00E-04,561,8.97,12.03,-40.63,324.69,-1.21,-0.15,2,981.16,39.776,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,16 / 24,166511,2018-07-23 11:59:00:468
0.0343,0.1806,9.7779,0.0266,0.2064,9.8044,0.0078,-0.0255,-0.012,-9.00E-04,0,-1.00E-04,568,9,9.91,-41.22,320,-1.21,-0.16,2,981.16,26.795,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,167011,2018-07-23 11:59:00:968
0.0175,0.1982,9.7835,0.0255,0.2107,9.8044,-0.0079,-0.0122,-0.0056,2.00E-04,-8.00E-04,-1.00E-04,568,9.41,10.56,-41.47,322.53,-1.24,-0.15,2,981.16,33.795,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,167510,2018-07-23 11:59:01:467
0.0271,0.2436,9.7764,0.0289,0.2159,9.8042,-0.0017,0.0282,-0.0044,-9.00E-04,3.00E-04,9.00E-04,568,9.4,11.3,-41.56,322.54,-1.24,-0.17,2,981.17,28.273,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,168010,2018-07-23 11:59:01:967
0.0056,0.2173,9.7811,0.023,0.2127,9.8043,-0.0174,0.0052,0.0028,-4.00E-04,-5.00E-04,0,568,8.56,12.37,-41.35,324.75,-1.24,-0.15,2,981.17,27.492,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,168511,2018-07-23 11:59:02:468
0.0415,0.191,9.7716,0.0245,0.2124,9.8043,0.0171,-0.0208,-0.0053,-4.00E-04,5.00E-04,0,568,8.91,13.47,-40.68,326.8,-1.26,-0.13,2,981.17,28.453,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,169012,2018-07-23 11:59:02:969
0.0104,0.2077,9.7835,0.024,0.213,9.8043,-0.0136,-0.0048,0.0032,7.00E-04,5.00E-04,0.001,568,9.21,13.46,-40.28,326.71,-1.25,-0.15,2,981.17,28.159,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,169510,2018-07-23 11:59:03:467
0.0295,0.2436,9.7787,0.0223,0.2143,9.8043,0.0073,0.0299,-0.004,7.00E-04,-5.00E-04,0,568,7.4,13.17,-40.63,332.94,-1.23,-0.12,2,981.17,26.238,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,170011,2018-07-23 11:59:03:968
0.0463,0.2173,9.7811,0.0288,0.2161,9.8042,0.0176,0.0017,-0.002,7.00E-04,5.00E-04,0.001,568,10.4,13.54,-40.6,325.83,-1.26,-0.16,2,981.17,31.043,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,170511,2018-07-23 11:59:04:468
-0.0016,0.1934,9.8003,0.019,0.2091,9.8044,-0.0206,-0.0154,0.012,7.00E-04,-5.00E-04,-0.0011,568,10.8,12.1,-41.53,319.31,-1.23,-0.12,2,981.17,34.227,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,171012,2018-07-23 11:59:04:969
0.0511,0.2173,9.7835,0.0259,0.2139,9.8043,0.0252,0.0038,-0.0043,-4.00E-04,5.00E-04,0,568,10.01,11.94,-41.44,321.93,-1.25,-0.13,2,981.17,28.232,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,171511,2018-07-23 11:59:05:468
0.0104,0.2125,9.7955,0.0237,0.2124,9.8043,-0.0133,4.00E-04,0.0056,-4.00E-04,-5.00E-04,0.001,568,9.99,12.91,-42.64,324.02,-1.24,-0.15,2,981.17,61.669,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,172011,2018-07-23 11:59:05:968
0.0175,0.2077,9.7907,0.0227,0.2106,9.8044,-0.0052,-0.0026,0,7.00E-04,-5.00E-04,0,568,10.35,14.37,-39.54,325.8,-1.23,-0.14,2,981.17,63.004,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,172510,2018-07-23 11:59:06:467
0.0271,0.2293,9.7931,0.0244,0.216,9.8042,0.0027,0.0136,0.0029,7.00E-04,5.00E-04,0.001,577,8.72,14.02,-41.93,328.6,-1.25,-0.14,2,981.18,62.106,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,173010,2018-07-23 11:59:06:967
0.0175,0.2317,9.7955,0.0218,0.209,9.8044,-0.0042,0.023,0.0051,7.00E-04,-5.00E-04,0,577,8.74,13.93,-42.26,328.56,-1.2,-0.13,2,981.18,53.937,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,173511,2018-07-23 11:59:07:468
0.0223,0.2053,9.7907,0.024,0.2101,9.8044,-0.0017,-0.0044,5.00E-04,-4.00E-04,5.00E-04,0,577,8.35,13.96,-41.84,331.45,-1.23,-0.14,2,981.18,30.633,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,174012,2018-07-23 11:59:07:969
0.0199,0.2029,9.7907,0.0242,0.2121,9.8043,-0.0042,-0.0088,-3.00E-04,7.00E-04,-5.00E-04,0,577,9.34,12.26,-41.35,324.77,-1.24,-0.14,2,981.18,29.345,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,174510,2018-07-23 11:59:08:467
0.0343,0.2197,9.7835,0.0227,0.2136,9.8043,0.0116,0.0063,-0.008,-0.0057,0.0101,0.0255,577,9.5,13.54,-41.38,328.57,-1.26,-0.14,2,981.17,26.186,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,175011,2018-07-23 11:59:08:968
0.0151,0.2101,9.7971,0.0219,0.2125,9.8043,-0.0068,-0.0022,0.0032,7.00E-04,-2.00E-04,3.00E-04,577,7.85,10.47,-42.42,323.41,-1.24,-0.13,2,981.17,28.481,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,0 / 24,175511,2018-07-23 11:59:09:468
0.0191,0.2021,9.7923,0.0213,0.2106,9.8044,-0.0022,-0.0082,-8.00E-04,0,0.0016,0.0021,577,9.72,8.1,-39.63,311.29,-1.24,-0.13,2,981.17,57.562,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,15 / 22,176009,2018-07-23 11:59:09:966
0.0247,0.2077,9.7859,0.0216,0.2118,9.8043,0.0032,-0.0038,-0.0049,-4.00E-04,5.00E-04,0,577,8.61,10.47,-41.68,320.18,-1.24,-0.13,2,981.17,43.049,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,15 / 22,176510,2018-07-23 11:59:10:467
0.0319,0.2221,9.7883,0.0241,0.2129,9.8043,0.0079,0.0096,0.0011,-4.00E-04,5.00E-04,0,577,8.25,10.05,-42.38,323.39,-1.24,-0.14,2,981.16,45.527,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,15 / 22,177011,2018-07-23 11:59:10:968
0.0319,0.2197,9.7859,0.0238,0.2126,9.8043,0.0082,0.0075,-5.00E-04,-4.00E-04,-5.00E-04,0,577,8.49,13.93,-44.02,331.53,-1.24,-0.14,2,981.16,42.892,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,15 / 22,177512,2018-07-23 11:59:11:469
0.0391,0.2029,9.7811,0.0236,0.2107,9.8044,0.0156,-0.0074,-0.005,-4.00E-04,-5.00E-04,0,577,9.1,12.37,-42.53,324.87,-1.24,-0.13,2,981.16,30.364,42.49838,-83.440865,839.98,915.2893521,,0,48.412903,,15 / 22,178012,2018-07-23 11:59:11:969
